1,4-alpha-glucan branching enzyme 1	GBE1	GLGB_HUMAN
4-hydroxy-2-oxoglutarate aldolase 1	HOGA1	HOGA1_HUMAN
4-hydroxy-2-oxoglutarate aldolase 1	HOGA1	HOGA1_HUMAN
4-hydroxyphenylpyruvate dioxygenase	HPD	HPPD_HUMAN
4-hydroxyphenylpyruvate dioxygenase	HPD	HPPD_HUMAN
4-hydroxyphenylpyruvate dioxygenase like	HPDL	HPDL_HUMAN
5', 3'-nucleotidase, cytosolic	NT5C	NT5C_HUMAN
5', 3'-nucleotidase, cytosolic	NT5C	NT5C_HUMAN
5',3'-nucleotidase, mitochondrial	NT5M	NT5M_HUMAN
5',3'-nucleotidase, mitochondrial	NT5M	Q2I378_HUMAN
5'-3' exoribonuclease 1	XRN1	XRN1_HUMAN
5'-3' exoribonuclease 1	XRN1	XRN1_HUMAN
5'-3' exoribonuclease 1	XRN1	XRN1_HUMAN
5'-3' exoribonuclease 2	XRN2	B4DZC3_HUMAN
5'-3' exoribonuclease 2	XRN2	XRN2_HUMAN
5'-3' exoribonuclease 2	XRN2	XRN2_HUMAN
5'-aminolevulinate synthase 1	ALAS1	B4DVA0_HUMAN
5'-aminolevulinate synthase 1	ALAS1	HEM1_HUMAN
5'-aminolevulinate synthase 1	ALAS1	HEM1_HUMAN
5'-aminolevulinate synthase 2	ALAS2	HEM0_HUMAN
5'-aminolevulinate synthase 2	ALAS2	HEM0_HUMAN
5'-aminolevulinate synthase 2	ALAS2	HEM0_HUMAN
5'-aminolevulinate synthase 2	ALAS2	HEM0_HUMAN
5'-nucleotidase domain containing 1	NT5DC1	NT5D1_HUMAN
5'-nucleotidase domain containing 1	NT5DC1	NT5D1_HUMAN
5'-nucleotidase domain containing 1	NT5DC1	Q9H2R1_HUMAN
5'-nucleotidase domain containing 2	NT5DC2	NT5D2_HUMAN
5'-nucleotidase domain containing 2	NT5DC2	NT5D2_HUMAN
5'-nucleotidase domain containing 2	NT5DC2	NT5D2_HUMAN
5'-nucleotidase domain containing 2	NT5DC2	NT5D2_HUMAN
5'-nucleotidase domain containing 3	NT5DC3	NT5D3_HUMAN
5'-nucleotidase domain containing 3	NT5DC3	NT5D3_HUMAN
5'-nucleotidase ecto	NT5E	5NTD_HUMAN
5'-nucleotidase ecto	NT5E	5NTD_HUMAN
5'-nucleotidase ecto	NT5E	Q6NZX3_HUMAN
5'-nucleotidase, cytosolic IB	NT5C1B	5NT1B_HUMAN
5'-nucleotidase, cytosolic IB	NT5C1B	5NT1B_HUMAN
5'-nucleotidase, cytosolic IB	NT5C1B	5NT1B_HUMAN
5'-nucleotidase, cytosolic IB	NT5C1B	5NT1B_HUMAN
5'-nucleotidase, cytosolic IB	NT5C1B	B3KUK6_HUMAN
5'-nucleotidase, cytosolic IB	NT5C1B	B4DXZ9_HUMAN
5'-nucleotidase, cytosolic IB	NT5C1B	B4DZ86_HUMAN
5'-nucleotidase, cytosolic II	NT5C2	5NTC_HUMAN
5'-nucleotidase, cytosolic II	NT5C2	5NTC_HUMAN
5'-nucleotidase, cytosolic II	NT5C2	A8K6K2_HUMAN
5'-nucleotidase, cytosolic IIIA	NT5C3A	5NT3A_HUMAN
5'-nucleotidase, cytosolic IIIA	NT5C3A	5NT3A_HUMAN
5'-nucleotidase, cytosolic IIIA	NT5C3A	5NT3A_HUMAN
5'-nucleotidase, cytosolic IIIA	NT5C3A	5NT3A_HUMAN
5'-nucleotidase, cytosolic IIIA	NT5C3A	A0A024RA81_HUMAN
5'-nucleotidase, cytosolic IIIA	NT5C3A	A0A090N7U2_HUMAN
5'-nucleotidase, cytosolic IIIB	NT5C3B	5NT3B_HUMAN
5'-nucleotidase, cytosolic IIIB	NT5C3B	5NT3B_HUMAN
5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase	ATIC	PUR9_HUMAN
5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase	ATIC	PUR9_HUMAN
5-azacytidine induced 2	AZI2	AZI2_HUMAN
5-azacytidine induced 2	AZI2	AZI2_HUMAN
5-azacytidine induced 2	AZI2	AZI2_HUMAN
5-azacytidine induced 2	AZI2	AZI2_HUMAN
5-hydroxymethylcytosine binding, ES cell specific	HMCES	HMCES_HUMAN
5-hydroxytryptamine receptor 1A	HTR1A	5HT1A_HUMAN
5-hydroxytryptamine receptor 1A	HTR1A	A8K5W4_HUMAN
5-hydroxytryptamine receptor 1B	HTR1B	5HT1B_HUMAN
5-hydroxytryptamine receptor 1B	HTR1B	A8K215_HUMAN
5-hydroxytryptamine receptor 1D	HTR1D	5HT1D_HUMAN
5-hydroxytryptamine receptor 1E	HTR1E	5HT1E_HUMAN
5-hydroxytryptamine receptor 1F	HTR1F	5HT1F_HUMAN
5-hydroxytryptamine receptor 2A	HTR2A	5HT2A_HUMAN
5-hydroxytryptamine receptor 2A	HTR2A	5HT2A_HUMAN
5-hydroxytryptamine receptor 2B	HTR2B	5HT2B_HUMAN
5-hydroxytryptamine receptor 2C	HTR2C	5HT2C_HUMAN
5-hydroxytryptamine receptor 2C	HTR2C	5HT2C_HUMAN
5-hydroxytryptamine receptor 2C	HTR2C	K9J958_HUMAN
5-hydroxytryptamine receptor 3A	HTR3A	5HT3A_HUMAN
5-hydroxytryptamine receptor 3A	HTR3A	5HT3A_HUMAN
5-hydroxytryptamine receptor 3A	HTR3A	5HT3A_HUMAN
5-hydroxytryptamine receptor 3A	HTR3A	5HT3A_HUMAN
5-hydroxytryptamine receptor 3A	HTR3A	5HT3A_HUMAN
5-hydroxytryptamine receptor 3A	HTR3A	B4E398_HUMAN
5-hydroxytryptamine receptor 3B	HTR3B	5HT3B_HUMAN
5-hydroxytryptamine receptor 3B	HTR3B	5HT3B_HUMAN
5-hydroxytryptamine receptor 3C	HTR3C	5HT3C_HUMAN
5-hydroxytryptamine receptor 3D	HTR3D	5HT3D_HUMAN
5-hydroxytryptamine receptor 3D	HTR3D	5HT3D_HUMAN
5-hydroxytryptamine receptor 3D	HTR3D	5HT3D_HUMAN
5-hydroxytryptamine receptor 3D	HTR3D	5HT3D_HUMAN
5-hydroxytryptamine receptor 3D	HTR3D	F6WC43_HUMAN
5-hydroxytryptamine receptor 3E	HTR3E	5HT3E_HUMAN
5-hydroxytryptamine receptor 3E	HTR3E	5HT3E_HUMAN
5-hydroxytryptamine receptor 3E	HTR3E	5HT3E_HUMAN
5-hydroxytryptamine receptor 3E	HTR3E	5HT3E_HUMAN
5-hydroxytryptamine receptor 3E	HTR3E	5HT3E_HUMAN
5-hydroxytryptamine receptor 4	HTR4	5HT4R_HUMAN
5-hydroxytryptamine receptor 4	HTR4	5HT4R_HUMAN
5-hydroxytryptamine receptor 4	HTR4	5HT4R_HUMAN
5-hydroxytryptamine receptor 4	HTR4	5HT4R_HUMAN
5-hydroxytryptamine receptor 4	HTR4	5HT4R_HUMAN
5-hydroxytryptamine receptor 4	HTR4	5HT4R_HUMAN
5-hydroxytryptamine receptor 4	HTR4	5HT4R_HUMAN
5-hydroxytryptamine receptor 4	HTR4	5HT4R_HUMAN
5-hydroxytryptamine receptor 4	HTR4	5HT4R_HUMAN
5-hydroxytryptamine receptor 5A	HTR5A	5HT5A_HUMAN
5-hydroxytryptamine receptor 6	HTR6	5HT6R_HUMAN
5-hydroxytryptamine receptor 7	HTR7	5HT7R_HUMAN
5-hydroxytryptamine receptor 7	HTR7	5HT7R_HUMAN
5-hydroxytryptamine receptor 7	HTR7	5HT7R_HUMAN
5-methyltetrahydrofolate-homocysteine methyltransferase	MTR	A0A6Q8PGK3_HUMAN
5-methyltetrahydrofolate-homocysteine methyltransferase	MTR	METH_HUMAN
5-methyltetrahydrofolate-homocysteine methyltransferase	MTR	METH_HUMAN
5-methyltetrahydrofolate-homocysteine methyltransferase reductase	MTRR	MTRR_HUMAN
5-methyltetrahydrofolate-homocysteine methyltransferase reductase	MTRR	MTRR_HUMAN
5-oxoprolinase, ATP-hydrolysing	OPLAH	OPLA_HUMAN
5-phosphohydroxy-L-lysine phospho-lyase	PHYKPL	AT2L2_HUMAN
5-phosphohydroxy-L-lysine phospho-lyase	PHYKPL	AT2L2_HUMAN
5-phosphohydroxy-L-lysine phospho-lyase	PHYKPL	AT2L2_HUMAN
6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1	PFKFB1	F261_HUMAN
6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1	PFKFB1	F261_HUMAN
6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1	PFKFB1	I1Z9G4_HUMAN
6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2	PFKFB2	F262_HUMAN
6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2	PFKFB2	F262_HUMAN
6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	PFKFB3	B7Z8A0_HUMAN
6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	PFKFB3	F263_HUMAN
6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	PFKFB3	F263_HUMAN
6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	PFKFB3	F263_HUMAN
6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	PFKFB3	F263_HUMAN
6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4	PFKFB4	B7Z5C3_HUMAN
6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4	PFKFB4	F264_HUMAN
6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4	PFKFB4	F264_HUMAN
6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4	PFKFB4	F264_HUMAN
6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4	PFKFB4	Q5XLC3_HUMAN
6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4	PFKFB4	Q66S35_HUMAN
6-phosphogluconolactonase	PGLS	6PGL_HUMAN
7-dehydrocholesterol reductase	DHCR7	DHCR7_HUMAN
8-oxoguanine DNA glycosylase	OGG1	E5KPM5_HUMAN
8-oxoguanine DNA glycosylase	OGG1	E5KPM6_HUMAN
8-oxoguanine DNA glycosylase	OGG1	E5KPM7_HUMAN
8-oxoguanine DNA glycosylase	OGG1	E5KPM8_HUMAN
8-oxoguanine DNA glycosylase	OGG1	E5KPM9_HUMAN
8-oxoguanine DNA glycosylase	OGG1	E5KPN0_HUMAN
8-oxoguanine DNA glycosylase	OGG1	OGG1_HUMAN
8-oxoguanine DNA glycosylase	OGG1	OGG1_HUMAN
8-oxoguanine DNA glycosylase	OGG1	OGG1_HUMAN
8-oxoguanine DNA glycosylase	OGG1	OGG1_HUMAN
8-oxoguanine DNA glycosylase	OGG1	OGG1_HUMAN
8-oxoguanine DNA glycosylase	OGG1	OGG1_HUMAN
8-oxoguanine DNA glycosylase	OGG1	OGG1_HUMAN
8-oxoguanine DNA glycosylase	OGG1	OGG1_HUMAN
A-Raf proto-oncogene, serine/threonine kinase	ARAF	ARAF_HUMAN
A-Raf proto-oncogene, serine/threonine kinase	ARAF	ARAF_HUMAN
A-Raf proto-oncogene, serine/threonine kinase	ARAF	Q96II5_HUMAN
A-kinase anchor inhibitor 1	AKAIN1	AKAI1_HUMAN
A-kinase anchor inhibitor 1	AKAIN1	J3KS16_HUMAN
A-kinase anchoring protein 1	AKAP1	AKAP1_HUMAN
A-kinase anchoring protein 1	AKAP1	AKAP1_HUMAN
A-kinase anchoring protein 1	AKAP1	B4DN86_HUMAN
A-kinase anchoring protein 10	AKAP10	AKA10_HUMAN
A-kinase anchoring protein 10	AKAP10	E7EMD6_HUMAN
A-kinase anchoring protein 11	AKAP11	AKA11_HUMAN
A-kinase anchoring protein 12	AKAP12	AKA12_HUMAN
A-kinase anchoring protein 12	AKAP12	AKA12_HUMAN
A-kinase anchoring protein 12	AKAP12	AKA12_HUMAN
A-kinase anchoring protein 13	AKAP13	A8MYJ1_HUMAN
A-kinase anchoring protein 13	AKAP13	AKP13_HUMAN
A-kinase anchoring protein 13	AKAP13	AKP13_HUMAN
A-kinase anchoring protein 13	AKAP13	AKP13_HUMAN
A-kinase anchoring protein 13	AKAP13	AKP13_HUMAN
A-kinase anchoring protein 14	AKAP14	AKA28_HUMAN
A-kinase anchoring protein 14	AKAP14	AKA28_HUMAN
A-kinase anchoring protein 14	AKAP14	AKA28_HUMAN
A-kinase anchoring protein 17A	AKAP17A	AK17A_HUMAN
A-kinase anchoring protein 17A	AKAP17A	AK17A_HUMAN
A-kinase anchoring protein 17A	AKAP17A	AK17A_HUMAN
A-kinase anchoring protein 3	AKAP3	AKAP3_HUMAN
A-kinase anchoring protein 4	AKAP4	AKAP4_HUMAN
A-kinase anchoring protein 4	AKAP4	AKAP4_HUMAN
A-kinase anchoring protein 5	AKAP5	AKAP5_HUMAN
A-kinase anchoring protein 6	AKAP6	AKAP6_HUMAN
A-kinase anchoring protein 6	AKAP6	AKAP6_HUMAN
A-kinase anchoring protein 6	AKAP6	B2RP22_HUMAN
A-kinase anchoring protein 7	AKAP7	AKA7A_HUMAN
A-kinase anchoring protein 7	AKAP7	AKA7A_HUMAN
A-kinase anchoring protein 7	AKAP7	AKA7G_HUMAN
A-kinase anchoring protein 7	AKAP7	Q2TAJ5_HUMAN
A-kinase anchoring protein 7	AKAP7	Q6P4D3_HUMAN
A-kinase anchoring protein 8	AKAP8	AKAP8_HUMAN
A-kinase anchoring protein 8 like	AKAP8L	AKP8L_HUMAN
A-kinase anchoring protein 8 like	AKAP8L	AKP8L_HUMAN
A-kinase anchoring protein 9	AKAP9	A0A0A0MRF6_HUMAN
A-kinase anchoring protein 9	AKAP9	A0A7P0TBH8_HUMAN
A-kinase anchoring protein 9	AKAP9	AKAP9_HUMAN
A-kinase anchoring protein 9	AKAP9	AKAP9_HUMAN
A-kinase anchoring protein 9	AKAP9	AKAP9_HUMAN
A-kinase anchoring protein 9	AKAP9	AKAP9_HUMAN
A-kinase anchoring protein 9	AKAP9	AKAP9_HUMAN
A-kinase anchoring protein 9	AKAP9	AKAP9_HUMAN
A-kinase anchoring protein 9	AKAP9	Q6PJH3_HUMAN
A-kinase interacting protein 1	AKIP1	AKIP1_HUMAN
A-kinase interacting protein 1	AKIP1	AKIP1_HUMAN
A-kinase interacting protein 1	AKIP1	AKIP1_HUMAN
A-kinase interacting protein 1	AKIP1	E9PN38_HUMAN
AAR2 splicing factor	AAR2	AAR2_HUMAN
ABCF2-H2BE1 readthrough	ABCF2-H2BK1	A0A090N7Y2_HUMAN
ABCF2-H2BE1 readthrough	ABCF2-H2BK1	ABCF2_HUMAN
ABCF2-H2BE1 readthrough	ABCF2-H2BK1	ABCF2_HUMAN
ABHD14A-ACY1 readthrough	ABHD14A-ACY1	B4DNW0_HUMAN
ABI family member 3	ABI3	ABI3_HUMAN
ABI family member 3	ABI3	ABI3_HUMAN
ABI family member 3 binding protein	ABI3BP	TARSH_HUMAN
ABI family member 3 binding protein	ABI3BP	TARSH_HUMAN
ABI family member 3 binding protein	ABI3BP	TARSH_HUMAN
ABI family member 3 binding protein	ABI3BP	TARSH_HUMAN
ABL proto-oncogene 1, non-receptor tyrosine kinase	ABL1	ABL1_HUMAN
ABL proto-oncogene 1, non-receptor tyrosine kinase	ABL1	ABL1_HUMAN
ABL proto-oncogene 2, non-receptor tyrosine kinase	ABL2	ABL2_HUMAN
ABL proto-oncogene 2, non-receptor tyrosine kinase	ABL2	ABL2_HUMAN
ABL proto-oncogene 2, non-receptor tyrosine kinase	ABL2	ABL2_HUMAN
ABL proto-oncogene 2, non-receptor tyrosine kinase	ABL2	ABL2_HUMAN
ABL proto-oncogene 2, non-receptor tyrosine kinase	ABL2	ABL2_HUMAN
ABL proto-oncogene 2, non-receptor tyrosine kinase	ABL2	ABL2_HUMAN
ABL proto-oncogene 2, non-receptor tyrosine kinase	ABL2	ABL2_HUMAN
ABL proto-oncogene 2, non-receptor tyrosine kinase	ABL2	ABL2_HUMAN
ABL proto-oncogene 2, non-receptor tyrosine kinase	ABL2	ABL2_HUMAN
ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	ABO	BGAT_HUMAN
ABR activator of RhoGEF and GTPase	ABR	ABR_HUMAN
ABR activator of RhoGEF and GTPase	ABR	ABR_HUMAN
ABR activator of RhoGEF and GTPase	ABR	ABR_HUMAN
ABR activator of RhoGEF and GTPase	ABR	ABR_HUMAN
ABR activator of RhoGEF and GTPase	ABR	B7Z2X0_HUMAN
ABR activator of RhoGEF and GTPase	ABR	B7Z683_HUMAN
ABR activator of RhoGEF and GTPase	ABR	B7Z7Z1_HUMAN
ABR activator of RhoGEF and GTPase	ABR	Q6ZT60_HUMAN
ABRA C-terminal like	ABRACL	ABRAL_HUMAN
ACD shelterin complex subunit and telomerase recruitment factor	ACD	ACD_HUMAN
ACD shelterin complex subunit and telomerase recruitment factor	ACD	ACD_HUMAN
ADAM like decysin 1	ADAMDEC1	ADEC1_HUMAN
ADAM like decysin 1	ADAMDEC1	ADEC1_HUMAN
ADAM like decysin 1	ADAMDEC1	B7Z6V5_HUMAN
ADAM metallopeptidase domain 10	ADAM10	ADA10_HUMAN
ADAM metallopeptidase domain 10	ADAM10	ADA10_HUMAN
ADAM metallopeptidase domain 11	ADAM11	ADA11_HUMAN
ADAM metallopeptidase domain 11	ADAM11	ADA11_HUMAN
ADAM metallopeptidase domain 11	ADAM11	B4DKD2_HUMAN
ADAM metallopeptidase domain 12	ADAM12	A8K6G4_HUMAN
ADAM metallopeptidase domain 12	ADAM12	ADA12_HUMAN
ADAM metallopeptidase domain 12	ADAM12	ADA12_HUMAN
ADAM metallopeptidase domain 12	ADAM12	ADA12_HUMAN
ADAM metallopeptidase domain 12	ADAM12	ADA12_HUMAN
ADAM metallopeptidase domain 15	ADAM15	ADA15_HUMAN
ADAM metallopeptidase domain 15	ADAM15	ADA15_HUMAN
